name,omega1_1,phi1_1,d_1,r1_1,translate_x_1,translate_y_1,translate_z_1,rotate_phi_1,rotate_theta_1,rotate_psi_1,length_1,rmsd_1,omega1_2,phi1_2,d_2,r1_2,translate_x_2,translate_y_2,translate_z_2,rotate_phi_2,rotate_theta_2,rotate_psi_2,length_2,rmsd_2
loop_0,1.75,2.07,1.51,2.26,0.14,-0.03,-9.09,-0.02,-0.03,0.00,16.00,0.27,1.75,1.73,1.51,2.26,5.00,9.05,-6.74,2.61,0.42,1.32,17.00,0.10
loop_1,1.75,2.10,1.51,2.26,0.00,0.13,-9.04,0.04,-0.01,-0.00,17.00,0.26,1.75,0.38,1.51,2.26,6.61,-9.37,-9.53,-2.59,0.03,-0.10,17.00,0.12
loop_10,1.75,2.10,1.51,2.26,0.32,-0.08,-9.07,-0.04,0.00,-0.00,16.00,0.60,1.75,1.39,1.51,2.26,7.56,8.55,-5.00,2.49,0.22,0.63,17.00,0.09
loop_100,1.75,2.10,1.51,2.26,-0.02,0.02,-9.05,0.01,0.01,0.00,16.00,0.05,1.75,-3.03,1.51,2.26,12.42,2.36,-11.03,2.95,-0.64,-2.56,17.00,0.72
loop_1000,1.75,2.08,1.51,2.26,0.13,-0.02,-9.11,-0.00,-0.04,0.00,17.00,0.28,1.75,2.38,1.51,2.26,4.99,-10.20,-10.88,-2.89,-0.09,0.71,17.00,0.10
loop_10000,1.75,2.09,1.51,2.26,0.08,0.02,-9.06,0.00,-0.02,-0.00,17.00,0.11,1.75,1.51,1.51,2.26,3.79,-10.69,-7.55,-2.79,0.01,-0.04,17.00,0.13
loop_10001,1.75,2.12,1.51,2.26,0.03,-0.01,-9.07,-0.00,-0.01,0.00,16.00,0.11,1.75,2.71,1.51,2.26,-4.70,7.79,-5.89,-2.82,0.61,-2.20,17.00,0.26
loop_10002,1.75,2.10,1.51,2.26,0.07,0.01,-9.02,0.00,-0.02,-0.00,17.00,0.12,1.75,-0.96,1.51,2.26,8.24,-3.60,-6.53,3.07,-0.10,-1.86,17.00,0.21
loop_10003,1.75,2.11,1.51,2.26,0.15,-0.02,-9.05,-0.02,-0.03,0.00,16.00,0.23,1.75,1.63,1.51,2.26,5.86,8.69,-6.65,2.57,0.35,1.07,17.00,0.23
loop_10004,1.75,2.04,1.51,2.26,0.18,-0.12,-9.10,-0.03,-0.05,0.00,17.00,0.41,1.75,-0.99,1.51,2.26,-3.75,-9.22,-12.42,-3.10,0.43,-2.97,17.00,0.39
loop_10005,1.75,2.07,1.51,2.26,-0.12,0.07,-9.07,0.03,0.03,0.00,16.00,0.24,1.75,1.31,1.51,2.26,4.50,11.10,-5.72,2.80,0.26,1.29,17.00,0.14
loop_10006,1.75,0.35,1.51,2.26,-0.20,0.04,-10.63,0.02,0.04,0.00,18.00,0.36,1.75,-0.29,1.51,2.26,-10.52,-0.73,-9.78,2.99,0.34,2.32,17.00,0.18
loop_10007,1.75,2.14,1.51,2.26,0.04,0.01,-9.05,0.01,-0.01,-0.00,16.00,0.17,1.75,2.44,1.51,2.26,-2.61,8.91,-5.19,-3.04,0.50,-2.75,17.00,0.10
loop_10008,1.75,2.18,1.51,2.26,0.06,0.14,-8.99,0.04,-0.02,-0.00,17.00,0.39,1.75,-0.29,1.51,2.26,7.74,-5.23,-7.42,-2.69,0.05,-0.23,17.00,0.18
loop_10009,1.75,2.05,1.51,2.26,0.19,-0.19,-9.13,-0.04,-0.04,0.00,17.00,0.43,1.75,-0.76,1.51,2.26,7.30,-8.39,-9.78,3.04,-0.58,-2.80,17.00,0.12
loop_1001,1.75,2.11,1.51,2.26,0.00,0.03,-9.04,0.01,0.00,0.00,16.00,0.08,1.75,1.68,1.51,2.26,9.44,2.12,-11.69,-3.04,-0.16,1.95,17.00,0.08
loop_10010,1.75,2.08,1.51,2.26,0.03,0.11,-9.04,0.04,-0.02,-0.00,17.00,0.29,1.75,1.04,1.51,2.26,8.92,-6.40,-7.43,-2.82,-0.11,0.63,17.00,0.16
loop_10011,1.75,2.15,1.51,2.26,0.08,-0.04,-9.02,-0.01,-0.02,0.00,16.00,0.24,1.75,1.15,1.51,2.26,0.12,11.16,-3.80,2.94,0.27,1.88,17.00,0.23
loop_10012,1.75,2.06,1.51,2.26,-0.12,0.10,-9.08,0.03,0.03,0.00,16.00,0.31,1.75,1.76,1.51,2.26,0.66,11.65,-5.70,2.80,0.55,2.05,17.00,0.15
loop_10013,1.75,2.11,1.51,2.26,0.08,0.09,-9.06,0.02,-0.01,-0.00,16.00,0.15,1.75,0.50,1.51,2.26,10.35,-0.38,-9.52,-2.84,-0.07,0.43,17.00,0.13
loop_10014,1.75,2.10,1.51,2.26,-0.00,-0.05,-9.08,-0.01,0.00,-0.00,17.00,0.10,1.75,-2.41,1.51,2.26,9.56,-9.74,-8.92,-2.79,-0.48,1.88,18.00,0.11
loop_10015,1.75,0.34,1.51,2.26,-0.23,0.09,-10.65,-0.00,-0.02,0.00,18.00,0.54,1.75,0.31,1.51,2.26,-9.44,-0.74,-9.40,3.13,0.15,2.93,17.00,0.10
loop_10016,1.75,2.11,1.51,2.26,-0.07,0.00,-9.03,0.01,0.02,0.00,16.00,0.19,1.75,2.16,1.51,2.26,-5.22,10.52,-6.49,3.07,0.69,2.93,17.00,0.23
loop_10017,1.75,2.12,1.51,2.26,0.24,-0.16,-9.06,-0.05,-0.06,0.00,16.00,0.43,1.75,0.41,1.51,2.26,7.64,-6.98,-12.22,-2.93,0.08,-0.72,17.00,0.14
loop_10018,1.75,2.06,1.51,2.26,-0.11,0.02,-9.11,0.01,0.02,0.00,16.00,0.22,1.75,1.97,1.51,2.26,1.63,10.62,-5.40,2.99,0.41,2.44,17.00,0.19
loop_10019,1.75,2.11,1.51,2.26,-0.12,0.21,-9.04,0.06,0.01,0.00,17.00,0.44,1.75,0.42,1.51,2.26,7.65,-8.13,-9.59,-2.51,-0.04,0.14,17.00,0.11
loop_1002,1.75,2.11,1.51,2.26,0.18,-0.07,-9.14,-0.02,-0.04,0.00,17.00,0.34,1.75,-1.11,1.51,2.26,8.27,-7.65,-9.41,3.10,-0.46,-2.95,17.00,0.10
loop_10020,1.75,0.39,1.51,2.26,-0.08,-0.17,-10.62,-0.04,0.02,-0.00,18.00,0.40,1.75,-0.09,1.51,2.26,-10.14,-0.88,-10.18,3.03,0.33,2.51,17.00,0.09
loop_10021,1.75,2.10,1.51,2.26,0.03,0.16,-9.03,0.05,-0.02,-0.00,17.00,0.34,1.75,0.08,1.51,2.26,7.19,-6.03,-7.31,-2.77,0.02,-0.10,17.00,0.10
loop_10022,1.75,2.11,1.51,2.26,0.25,-0.11,-9.05,-0.05,-0.05,0.00,16.00,0.43,1.75,1.61,1.51,2.26,4.52,9.55,-7.69,2.37,0.44,1.01,17.00,0.14
loop_10023,1.75,2.14,1.51,2.26,0.13,0.04,-9.02,0.00,-0.03,-0.00,17.00,0.22,1.75,2.19,1.51,2.26,5.56,-8.11,-7.17,-2.94,-0.08,0.79,17.00,0.14
loop_10024,1.75,2.11,1.51,2.26,0.14,0.04,-9.07,-0.01,-0.03,0.00,16.00,0.23,1.75,1.14,1.51,2.26,7.79,9.03,-5.58,2.61,0.13,0.48,17.00,0.24
